Year,AWI_AWI-CM-1-1-MR_r1i1p1f1,CAS_FGOALS-g3_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-AerChem_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM5A2-INCA_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1
1850,0.00955,0.1579,0.09293,0.00689,0.04346,0.07957,0.09259,0.10378,-0.02425,0.0598,0.05641,0.25777,-0.21447,-0.08835,-0.07821,-0.06185,-0.04268,0.0571,-0.0596,0.111,-0.04147,-0.08237
1851,-0.03335,-0.04768,-0.16048,0.06388,-0.02573,0.03394,0.27273,0.11354,0.1047,0.03542,0.02866,0.1661,-0.03325,-0.12622,0.08074,-0.05315,-0.06191,0.10956,-0.24344,0.13086,-0.07097,-0.16805
1852,-0.02439,0.02186,-0.08938,-0.0685,0.01637,0.01168,0.1978,0.26984,0.06019,0.05641,-0.00422,0.05726,-0.04389,-0.10349,0.00727,0.0533,-0.05532,0.02889,-0.11983,0.02639,-0.02209,0.04044
1853,0.03438,0.02998,0.06258,0.21209,0.053,0.02239,0.0657,0.16574,-0.02648,0.04151,0.0354,0.06784,0.03098,-0.05119,-0.17635,0.10132,0.29333,-0.07487,-0.1821,-0.00449,0.02559,0.08704
1854,0.21346,-0.02353,-0.07591,0.16521,0.04037,0.02584,0.06632,0.23462,0.03664,0.00768,0.02002,0.2597,0.126,0.21178,-0.16247,0.02356,0.15864,-0.11529,-0.20024,0.25821,-0.05575,-0.12294
1855,0.21961,-0.06275,-0.12673,0.16581,0.11992,0.00516,-0.21198,0.00773,0.13593,-0.02207,0.09191,0.08191,0.03682,0.31603,0.07175,-0.10441,0.01489,0.06464,-0.04216,0.25714,0.01043,-0.19783
1856,0.04717,-0.07822,-0.07713,0.25705,0.00504,0.03611,-0.04499,0.03655,0.02645,0.05713,0.07193,0.00091,0.16127,-0.14732,0.05412,0.08989,-0.05076,0.06381,0.04723,-0.09227,0.02207,0.02746
1857,-0.08246,-0.10114,-0.08456,0.28352,-0.01354,0.18042,0.0434,0.09638,0.06762,0.04957,0.07816,0.19802,0.12014,-0.10319,0.1045,0.10885,0.02783,-0.00721,0.03281,-0.12193,0.0246,0.0769
1858,0.02959,-0.03773,-0.10744,0.23503,-0.08625,0.14984,-0.12998,0.01232,0.10722,0.05156,0.07106,-0.05213,0.05765,-0.06005,0.02555,0.09062,0.01633,-0.02645,-0.14949,-0.12697,-0.01243,-0.08244
1859,0.04986,0.14412,0.01927,0.15227,-0.00096,0.09195,0.16971,0.12436,0.04854,-0.03706,0.05807,-0.07012,0.17426,0.07562,0.00194,0.13064,0.06818,0.14546,-0.009,-0.09916,0.07517,-0.03216
1860,-0.00258,0.01989,-0.01792,0.11278,0.01725,0.12144,0.16303,0.09204,0.07165,-0.08221,0.08757,0.19441,0.00822,-0.01776,0.11395,0.05721,0.07413,-0.00677,-0.01551,-0.02241,0.00833,-0.1119
1861,0.23909,-0.00687,-0.05232,0.11734,-0.18384,-0.08065,-0.05067,-0.02838,0.13761,-0.11408,0.03334,-0.18245,0.18921,-0.08501,0.05013,0.15221,0.16862,-0.03645,-0.19655,-0.12846,-0.0316,-0.19807
1862,-0.10866,0.0317,-0.20286,0.13406,-0.08186,-0.17004,0.02611,-0.04205,-0.0741,-0.02948,-0.02192,-0.28299,-0.20615,0.04623,0.00125,0.06717,-0.02669,-0.08057,-0.27778,-0.11044,-0.10504,-0.18312
1863,-0.01088,-0.09144,-0.06479,-0.05067,-0.08713,-0.03185,0.11913,-0.13005,-0.10777,-0.11752,-0.14159,-0.0411,-0.07855,0.19278,-0.01705,0.09683,0.00375,0.01375,-0.16455,-0.02101,-0.11646,-0.14672
1864,0.05352,0.03578,-0.0768,-0.13892,-0.11547,0.12401,0.12798,-0.02124,-0.0681,-0.06945,-0.05086,0.11966,0.01973,-0.14001,0.09318,0.079,0.21472,-0.11391,-0.09183,0.12771,-0.01793,-0.01173
1865,-0.00177,0.15439,-0.19993,-0.07645,-0.0621,-0.01961,-0.16835,-0.08609,0.09164,-0.07505,0.0212,-0.1143,0.13127,-0.25049,0.29611,-0.10957,0.16442,0.00947,-0.0479,0.18443,-0.18495,0.07125
1866,0.09644,0.16733,0.03825,-0.19177,-0.04297,0.0403,0.07629,-0.06291,-0.10735,-0.05084,0.02193,-0.26255,0.26111,-0.18838,0.09826,-0.03107,0.01001,-0.0526,0.12685,0.35629,-0.00094,0.0697
1867,0.0224,0.12525,0.1824,-0.01134,-0.1489,0.03481,0.14782,0.03876,0.01823,0.02479,0.01035,-0.24764,0.11612,-0.10102,-0.16896,-0.00812,0.0576,-0.08002,0.13126,0.31794,-0.05163,0.03234
1868,0.02651,0.17354,0.03439,0.07042,-0.10229,-0.00634,0.02395,-0.10502,0.05984,-0.05677,0.02174,-0.00244,-0.02511,0.0985,-0.0268,-0.04945,-0.02767,0.02433,0.10304,-0.03043,0.01425,-0.03964
1869,0.19565,0.03165,-0.00454,0.28428,-0.06563,0.0603,0.14404,-0.04974,0.02509,-0.03137,0.09031,0.14388,-0.08139,0.23874,0.04961,-0.22971,-0.01339,-0.11127,-0.07717,-0.05993,0.00502,-0.02219
1870,0.14962,0.07433,0.05257,0.20913,-0.0471,0.05663,0.09779,0.01492,-0.08716,0.03329,0.09359,-0.04104,0.04386,0.0778,0.02463,-0.33527,0.15472,-0.07824,0.03009,-0.12762,-0.06961,0.01409
1871,-0.10377,0.07973,-0.02239,0.08844,-0.05001,0.03993,0.20989,0.06646,0.06074,0.09687,-0.00392,-0.01965,0.13092,0.08007,0.18799,-0.15624,0.08282,0.0063,0.08411,-0.00834,-0.02158,0.01253
1872,-0.08791,0.05872,-0.04166,0.1289,-0.1103,-0.00185,0.0859,0.18883,0.26265,0.10521,0.04489,0.11004,0.2422,0.04122,0.34458,0.11816,0.04075,-0.1592,-0.08962,0.03803,-0.11355,0.06731
1873,-0.0121,-0.03814,0.00173,0.12651,-0.073,-0.0844,0.14086,-0.09187,0.08102,0.04439,0.02493,-0.05438,0.24149,0.13486,0.05051,0.15518,0.02368,-0.26134,-0.0017,0.02645,-0.03394,-0.03986
1874,-0.04157,-0.17678,-0.07351,0.1091,-0.07609,0.06274,-0.02523,0.10248,0.18103,0.03343,-0.08576,0.1993,0.15114,0.20594,-0.00121,-0.04767,-0.08919,-0.15634,0.05752,0.28608,0.16033,0.06777
1875,0.02835,-0.04583,0.04976,0.05465,0.04096,-0.15278,-0.00168,0.06005,0.09419,0.12385,-0.01594,0.05722,0.05703,-0.01796,0.25895,-0.08352,-0.16151,0.07047,-0.02562,0.18072,0.12726,0.06784
1876,0.0914,-0.0613,0.11476,-0.03445,-0.05504,-0.00015,0.03378,0.01331,0.09639,0.04671,0.00598,0.14047,0.17434,0.02792,0.41438,-0.04823,-0.1434,0.00664,-0.05722,0.01516,-0.12892,-0.03291
1877,-0.10753,-0.01454,0.06703,-0.03081,-0.04794,0.17944,0.14844,0.11673,-0.00291,-0.03085,0.17396,-0.02996,0.18508,-0.08157,0.19328,0.08247,-0.06971,0.07507,0.01417,0.24918,-0.02379,-0.01607
1878,-0.2158,-0.06574,0.09899,0.0575,-0.05892,-0.06305,0.16844,0.05989,0.14596,-0.09831,0.0517,-0.17844,0.07658,-0.02763,0.00582,0.21959,-0.01788,0.08706,0.2425,0.07872,0.07884,-0.01199
1879,-0.12009,-0.05182,0.06541,0.01474,-0.0279,0.09664,-0.09331,0.01702,0.18554,-0.03774,-0.11463,-0.17217,0.0039,0.03902,-0.00476,0.0336,0.07333,-0.02733,0.33692,-0.04231,0.09962,0.15569
1880,0.09303,0.03575,0.13114,-0.06174,0.11058,0.15348,-0.04121,-0.03113,-0.13207,-0.02056,0.01083,-0.12334,0.0866,0.02683,-0.00792,0.03694,-0.01786,0.05312,0.10502,-0.02676,0.18356,0.00219
1881,-0.00662,-0.09229,0.11597,0.04311,-0.09248,0.04475,0.19286,0.01693,0.03828,0.02041,0.00564,-0.006,-0.01127,-0.01109,0.02217,-0.04226,-0.06457,0.10315,0.03012,0.28041,0.19648,-0.03841
1882,-0.11597,-0.00018,0.00901,0.02238,0.08721,0.09615,0.05131,0.06404,0.1506,0.13855,0.04591,0.07551,-0.16778,0.03906,0.16348,0.03432,-0.08393,0.15279,0.22959,0.1548,0.19864,-0.12157
1883,-0.07825,-0.03602,0.17009,-0.20624,0.07999,0.12247,0.16131,-0.03045,-0.06462,0.02199,0.04903,0.06971,-0.25666,0.15855,0.04387,0.0847,-0.00766,-0.03248,0.10969,-0.16944,0.04985,-0.02068
1884,-0.35332,-0.21334,-0.22771,-0.44965,-0.141,-0.29349,-0.15179,-0.3902,-0.29992,-0.31954,-0.29137,-0.25759,-0.40506,-0.20993,-0.2994,-0.21619,-0.3039,-0.11305,-0.12256,-0.4608,-0.25624,-0.3739
1885,-0.25814,-0.12482,-0.14139,-0.18003,-0.18879,-0.07325,-0.082,-0.32828,-0.25533,-0.21837,-0.30577,-0.13306,-0.32878,-0.25723,-0.35389,-0.25882,-0.25354,-0.22379,-0.02076,-0.49468,-0.08928,-0.32264
1886,-0.0965,-0.06277,-0.246,-0.12888,0.04331,-0.01836,-0.13113,-0.32047,-0.22463,-0.07274,-0.14968,-0.12507,-0.19076,-0.15396,-0.23774,-0.18253,-0.12564,-0.06948,0.03065,-0.22195,-0.15474,-0.22827
1887,-0.14221,-0.02737,-0.0998,-0.27861,0.11387,-0.13664,-0.12337,-0.1656,-0.11843,-0.0343,-0.25953,-0.12933,-0.24811,-0.11583,-0.04425,-0.08782,-0.14653,-0.10705,-0.00716,-0.13497,-0.05348,-0.16631
1888,-0.05825,-0.0816,0.11987,-0.27415,0.25507,-0.05558,-0.10508,-0.14951,-0.18633,0.01025,-0.12834,-0.07738,-0.24588,0.09214,0.01946,0.07382,-0.02177,-0.07045,-0.1335,-0.00677,0.11063,0.06177
1889,0.09504,-0.0315,0.10509,-0.21581,0.11354,-0.12305,-0.3387,-0.11086,-0.08699,-0.02455,0.0247,-0.13475,-0.25563,-0.0506,-0.18137,0.026,0.16931,-0.07172,-0.14073,0.00964,0.18472,0.12663
1890,0.04074,-0.03398,0.0273,-0.27522,0.05177,-0.17916,-0.11738,-0.05652,0.02343,0.06,-0.09,-0.10391,-0.03613,-0.13015,-0.29293,-0.01321,0.14299,-0.06641,-0.06397,-0.17083,0.06904,0.03656
1891,-0.04777,0.0378,-0.15739,-0.25025,0.0259,-0.13734,-0.12911,-0.09067,-0.00275,-0.01822,-0.07972,-0.05178,-0.17786,-0.04234,-0.2676,0.19236,-0.09412,0.08785,-0.05701,-0.20173,-0.04651,0.05507
1892,-0.00508,0.0391,0.04152,-0.10069,0.09209,-0.09017,-0.28543,-0.24665,0.07541,-0.10058,0.05443,-0.2222,0.03441,-0.03758,-0.0223,0.17998,-0.14616,0.07621,-0.0658,-0.07107,0.04373,0.05318
1893,-0.05494,0.05318,-0.04385,0.07327,0.12414,0.05297,-0.04551,-0.07684,0.05813,0.00356,0.0647,-0.05557,-0.16142,0.03366,0.01414,-0.11215,0.04695,0.05599,0.02598,-0.19089,0.12375,0.10888
1894,0.02915,0.10392,0.04069,0.19364,0.06252,0.09835,0.0828,-0.00347,-0.00989,-0.00214,-0.02599,0.176,-0.00251,0.06171,-0.23802,-0.05112,-0.05629,0.11103,0.02281,-0.0615,-0.09557,0.12459
1895,-0.01617,-0.05524,0.17998,-0.11251,0.14246,-0.0607,-0.11414,0.01745,-0.03819,0.02151,-0.00125,0.11527,0.12143,-0.00793,-0.2356,0.01886,-0.00163,0.24156,-0.03966,-0.12441,-0.09457,0.16287
1896,0.06034,-0.1266,0.09625,-0.24858,-0.00745,-0.08279,-0.21985,0.06365,-0.05175,0.03465,0.00391,0.14623,-0.08348,0.01431,-0.16077,0.09295,0.06423,0.24081,0.02065,-0.04401,-0.01741,0.23751
1897,0.12661,0.04604,0.15117,-0.10847,-0.00408,0.01272,-0.14592,0.11901,-0.08063,0.19629,0.0181,0.2219,-0.0166,0.06521,0.06824,-0.037,0.16628,0.13245,0.17246,0.00693,0.05004,0.20339
1898,0.05231,0.04598,0.05772,-0.08362,0.08649,-0.00173,-0.09287,0.17474,-0.22463,0.1113,0.07641,-0.03388,-0.01551,0.07803,0.15475,-0.00164,-0.01015,0.13654,0.34584,0.0457,-0.01195,0.14871
1899,0.08045,0.11872,0.12081,0.06592,0.1578,-0.13795,-0.08473,0.1113,-0.13065,0.11131,0.10188,0.10955,0.12889,0.08072,0.01692,-0.07962,-0.07417,0.06322,0.23284,0.14356,0.01001,0.30422
1900,0.10183,0.00256,0.1478,0.12946,0.11363,-0.03306,-0.17561,0.11555,-0.03979,0.06637,0.12184,0.23656,0.1756,0.16957,-0.05395,0.00109,-0.06946,-0.07495,0.17033,0.09023,0.05045,0.35585
1901,0.18229,-0.08884,0.09999,0.23566,0.11927,0.04819,0.06075,0.0613,-0.02787,0.09979,0.14612,0.03851,0.02951,0.1796,0.11041,-0.15518,0.06101,0.17735,0.05067,0.03146,-0.02139,0.13389
1902,0.17813,0.01821,0.10503,0.12834,0.14907,-0.18101,-0.14481,0.08938,-0.19359,0.14666,0.17912,-0.0967,0.01325,0.0461,0.26399,-0.02847,0.05507,0.12267,-0.13661,-0.05461,0.02597,0.08636
1903,-0.04168,-0.10506,-0.04148,-0.20524,0.04065,-0.26949,-0.11111,-0.10933,-0.38263,-0.12752,0.01373,0.13008,0.00912,-0.33467,-0.20682,-0.0356,-0.22821,-0.11356,0.00389,-0.05346,-0.03018,-0.03254
1904,-0.01309,-0.17726,-0.10719,-0.17105,-0.01844,-0.35023,-0.11551,-0.10361,-0.2327,-0.04288,-0.09689,-0.00385,-0.03251,-0.30895,-0.13298,-0.13901,-0.02788,0.10432,0.12837,-0.04791,-0.17484,0.25131
1905,-0.10307,-0.16833,-0.15001,-0.19112,0.03518,-0.35175,-0.33852,-0.06964,-0.14871,-0.02032,0.11973,-0.11846,-0.08782,-0.18498,-0.07899,-0.07807,0.12415,0.19083,0.11761,-0.17708,-0.11673,0.23064
1906,-0.05923,-0.21505,-0.0497,-0.10704,0.14212,-0.32037,-0.11355,0.01464,-0.19318,0.01853,0.17904,0.11204,-0.09235,-0.11476,-0.03925,-0.09949,0.01296,0.05595,0.19266,-0.15142,-0.19106,0.16061
1907,0.05692,-0.06543,0.02031,-0.03897,-0.00365,-0.14961,0.04038,-0.12478,-0.28133,0.02768,0.19364,0.06149,-0.10319,-0.09538,0.08377,0.06167,-0.02843,-0.09261,0.0016,-0.26585,-0.01168,0.17583
1908,0.0153,0.01157,0.05913,-0.07333,-0.06735,-0.2038,-0.0494,-0.07606,-0.26625,0.13136,0.15897,0.13867,0.10617,0.06327,0.05492,0.02858,-0.08037,0.12864,-0.15651,-0.17999,-0.05727,0.19323
1909,-0.01698,-0.01036,0.09497,0.20719,-0.04553,-0.25431,0.01217,-0.15752,-0.19074,0.06037,0.08951,0.17232,0.1112,0.17352,-0.07013,-0.02053,-0.14205,0.18577,0.01147,-0.13834,-0.12742,0.34552
1910,0.1672,-0.08442,0.21132,0.27617,0.01682,-0.19743,-0.21428,0.03614,-0.2748,0.13575,0.18581,0.27098,0.10489,0.06973,-0.01444,-0.04821,0.00939,0.20615,0.01746,-0.12525,-0.04884,0.36149
1911,0.18503,0.09495,0.2052,0.06168,0.03597,-0.25295,0.00607,0.00426,-0.21632,0.12,0.24104,0.27386,0.14961,-0.04823,0.23369,0.00107,0.07345,0.06664,0.09355,0.12933,0.0206,0.36208
1912,-0.18763,0.0003,0.13473,-0.0581,0.0958,-0.27405,-0.06001,-0.23922,-0.3082,0.0213,0.15214,0.1158,0.07543,-0.09528,0.27148,-0.08897,0.00657,0.01799,0.02704,0.02909,-0.07564,0.0005
1913,-0.11477,-0.17018,-0.12623,-0.16031,-0.00399,-0.18138,-0.22476,-0.28199,-0.35375,-0.04464,0.06487,0.11249,-0.07992,-0.12558,-0.16817,-0.00581,0.09323,0.01341,0.02894,0.05533,-0.05429,-0.08559
1914,-0.11215,-0.12981,-0.20468,-0.05121,0.14362,-0.10733,-0.1699,-0.41707,-0.23586,-0.08744,0.10697,-0.17957,-0.05694,-0.04473,-0.13239,0.10553,0.17572,0.01709,0.0178,0.12929,0.0529,0.20144
1915,-0.02207,0.17088,-0.05925,-0.0135,0.17333,-0.20818,-0.15217,-0.22824,-0.19843,0.06751,0.21439,-0.07243,0.10222,-0.08092,0.13895,0.12111,0.10296,0.05797,0.00277,0.01024,-0.03715,0.26532
1916,0.06243,0.11964,0.0474,0.19832,0.19299,-0.26399,-0.30584,-0.01663,-0.25359,0.05218,0.10731,0.02436,0.25622,0.12268,0.34246,0.00129,-0.03244,-0.0688,0.10738,-0.09177,0.0433,0.24173
1917,0.01201,0.14062,0.16296,0.17115,0.20603,-0.06769,-0.23786,-0.29462,-0.02863,0.06272,0.26177,0.09337,0.10028,0.24939,0.26027,-0.09742,-0.14224,-0.0414,0.15983,-0.00701,0.04516,0.18488
1918,0.08888,0.33186,0.1521,0.13713,0.16913,-0.30131,-0.25861,-0.06751,0.011,0.08428,0.29804,0.03186,0.07273,0.31945,-0.10981,0.00802,-0.16171,0.0012,0.16308,-0.01111,0.01462,0.25958
1919,0.15651,0.17972,0.13772,0.15021,0.18413,-0.0864,-0.02093,-0.09194,-0.1062,0.10185,0.36659,-0.20256,-0.03296,-0.1011,-0.07423,0.13641,-0.05376,-0.05676,0.0805,0.12485,0.01733,0.37126
1920,0.17634,0.06494,0.06939,0.16053,0.20411,0.01586,-0.09574,-0.14851,-0.031,0.09221,0.36473,-0.23237,0.11947,-0.08975,0.10644,0.02762,0.14131,-0.04244,0.14741,0.13847,0.09705,0.38635
1921,0.25703,0.13048,0.09782,0.37081,0.11547,0.0048,0.0127,-0.15762,0.01727,0.15588,0.35485,0.08271,0.26005,0.0542,0.26977,-0.11281,0.18351,0.0919,0.31484,0.06426,0.04536,0.18403
1922,0.07687,0.14307,0.02291,0.36472,0.10862,-0.11862,-0.07608,-0.24882,0.07187,0.27034,0.3182,0.16054,-0.09276,0.1431,0.15468,-0.10645,0.16971,0.18134,0.22534,-0.13546,0.09932,0.24079
1923,0.19315,0.00465,0.10051,0.13596,0.19503,-0.12615,-0.03295,-0.07041,0.09268,0.27,0.29075,0.26253,-0.16236,0.12323,-0.09175,-0.0805,0.19453,0.2206,0.27201,-0.26036,0.25419,0.32702
1924,0.42473,0.12049,0.30132,0.00868,0.31721,-0.08148,-0.14504,-0.02583,-0.00978,0.21785,0.25519,0.09885,0.11643,0.22934,-0.09287,0.08675,0.17408,-0.00492,0.34369,-0.26059,0.12542,0.23369
1925,0.35161,0.07663,0.34722,0.07186,0.42998,-0.05322,-0.14208,0.0212,-0.00047,0.20278,0.27756,0.15971,0.03543,0.19801,-0.04566,0.07678,0.03568,-0.08302,0.12893,-0.29595,0.13599,0.18577
1926,0.10723,0.07166,0.15541,0.10897,0.342,-0.08781,-0.12906,-0.07298,-0.05655,0.16437,0.31378,0.06923,0.14572,0.12082,0.04479,0.05163,0.18661,0.00104,0.17308,-0.14837,0.14579,0.142
1927,0.10428,0.16841,0.1062,0.21577,0.35794,-0.14726,-0.02538,0.09357,0.10516,0.23607,0.30148,0.27422,0.04015,0.079,0.20022,-0.10172,0.26304,0.13939,0.33626,-0.06052,0.23332,0.29504
1928,0.12359,0.14332,0.11988,0.27539,0.41846,-0.23047,0.08873,0.04288,0.10345,0.22953,0.36987,0.17586,0.10878,0.06516,0.24737,-0.01618,0.38559,0.1138,0.27836,-0.0739,0.25183,0.39771
1929,0.19194,0.1112,0.1795,0.30219,0.51873,-0.1694,-0.02252,0.13255,-0.02628,0.28457,0.43296,-0.03063,0.23466,0.04483,0.16271,-0.03247,0.33298,0.1656,0.12493,-0.0563,0.0807,0.31219
1930,0.2348,0.18354,0.19757,0.23216,0.35283,-0.18261,-0.00843,0.03395,-0.05302,0.36138,0.40334,0.06665,0.08578,0.00073,0.00533,0.06371,0.16658,0.10373,0.1891,0.17545,0.12469,0.2506
1931,0.26446,0.16711,0.13669,0.08445,0.49872,-0.15701,0.04657,-0.04738,-0.03541,0.26932,0.28043,0.19141,-0.04748,0.05369,0.09917,-0.11802,0.17257,-0.05411,0.30533,0.23795,0.12651,0.33296
1932,0.19352,0.01496,0.08404,0.11237,0.477,-0.17065,0.00947,0.10984,0.12252,0.23025,0.28545,0.44701,0.14989,0.13863,0.21506,-0.07224,0.09782,0.07916,0.30974,-0.1175,0.27559,0.40768
1933,0.16103,0.073,0.15239,0.07908,0.47055,-0.10576,-0.10159,0.16798,-0.11462,0.20409,0.21333,0.57579,0.25239,0.00383,0.18204,-0.05219,0.15462,0.10782,0.16048,0.03365,0.19796,0.35709
1934,0.27448,0.13629,0.16451,0.11471,0.3986,0.04886,-0.16927,0.37592,-0.18515,0.27495,0.25399,0.57104,0.26362,0.12053,0.20074,-0.10562,0.22278,0.08969,0.05852,0.15542,0.21225,0.24158
1935,0.31511,0.2115,0.13436,0.20948,0.38974,-0.12705,-0.11549,0.25746,-0.07382,0.2559,0.33105,0.47112,0.15207,0.1538,0.27822,-0.06828,0.27173,0.19966,0.40158,0.00832,0.22821,0.23095
1936,0.2414,0.29865,0.09522,0.26291,0.47551,-0.34784,-0.1476,0.28551,-0.01303,0.25725,0.26394,0.31364,0.23284,0.18921,0.07585,0.07955,0.20507,0.31438,0.52377,-0.13948,0.20944,0.16185
1937,0.1802,0.20597,0.19834,0.20883,0.41794,-0.20821,-0.1132,0.093,-0.08337,0.31513,0.25503,0.22783,0.40587,0.35577,0.0014,-0.21023,0.18917,0.24268,0.28243,-0.06576,0.42701,0.12835
1938,0.32228,0.26529,0.25787,0.02079,0.3386,-0.04196,0.07341,0.14993,0.04256,0.21204,0.22985,0.36963,0.3473,0.29543,0.21539,-0.22893,0.24886,0.32207,0.3634,0.09405,0.21719,0.22514
1939,0.21418,0.26419,0.2339,0.05612,0.47505,0.00439,-0.23676,0.20949,0.01078,0.24443,0.2439,0.19364,0.1992,0.04243,0.29153,-0.04897,0.15104,0.25579,0.30945,0.17388,0.20236,0.287
1940,0.2479,0.25257,0.36134,-0.01698,0.42459,-0.01428,0.02284,0.19127,-0.07261,0.2729,0.30266,0.40547,0.13574,0.03838,0.43441,-0.15168,0.33403,0.18096,0.17615,0.26093,0.34888,0.31222
1941,0.20457,0.38572,0.37561,0.18615,0.36285,-0.02555,0.00773,0.33271,0.12095,0.39553,0.31936,0.24723,0.27634,0.10506,0.29637,-0.07526,0.3362,0.21834,0.27629,0.186,0.42292,0.10388
1942,-0.003,0.34568,0.14551,0.08334,0.3878,0.16427,0.01351,0.23983,0.08651,0.36729,0.37263,0.11505,0.53008,0.20951,0.0978,0.0891,0.46181,0.1156,0.36999,0.16964,0.39469,0.11379
1943,0.28947,0.22917,0.22929,-0.05804,0.3644,0.06341,-0.14296,0.17852,-0.05841,0.37543,0.17398,0.32006,0.47894,0.38327,-0.03321,-0.10755,0.50859,0.13279,0.28016,0.04515,0.47244,0.23428
1944,0.43792,0.39284,0.28253,0.09363,0.35268,-0.09643,0.00334,0.27073,0.09739,0.34728,0.187,0.28082,0.33937,0.50374,0.32687,0.02855,0.2667,0.2706,0.3612,-0.00425,0.35888,0.16278
1945,0.39907,0.2827,0.22331,0.23948,0.36373,0.14988,-0.08949,0.32582,-0.01218,0.28647,0.2701,0.43929,0.34485,0.36553,0.40745,-0.11966,0.31592,0.19538,0.09811,0.07361,0.3387,-0.05412
1946,0.25909,0.26808,0.29659,0.1252,0.34974,0.16899,-0.02412,0.22697,-0.09822,0.23175,0.35964,0.42327,0.27342,0.05935,0.154,-0.04874,0.473,0.34753,0.05888,0.01018,0.3043,0.03281
1947,0.21794,0.34462,0.24813,0.23545,0.42065,-0.11899,0.01079,0.11059,-0.02054,0.36834,0.34693,0.4481,0.36874,0.07959,0.02215,0.05593,0.41866,0.33883,-0.02448,-0.0019,0.31249,0.23072
1948,0.4021,0.32309,0.38496,0.51153,0.49353,-0.03517,-0.05392,0.11064,-0.08551,0.38518,0.33474,0.44687,0.46511,0.19334,0.09784,0.01791,0.20564,0.4183,0.06968,0.21353,0.32286,0.14029
1949,0.16919,0.33537,0.50478,0.28072,0.48144,0.1767,-0.08507,0.20299,0.06434,0.40396,0.33379,0.34195,0.39549,0.19013,0.24618,-0.18304,0.21159,0.3989,0.40689,0.19168,0.38957,0.08961
1950,0.22117,0.49845,0.4446,0.1967,0.50484,0.20817,-0.05063,0.02241,-0.0115,0.38251,0.40109,0.41183,0.26035,0.18954,0.37095,-0.22336,0.27999,0.38494,0.30313,0.25394,0.52018,0.18164
1951,0.26286,0.38219,0.34785,0.36796,0.49851,0.11904,-0.13344,0.12888,-0.10444,0.32497,0.33857,0.4609,0.41533,0.14941,0.05624,-0.21039,0.46655,0.309,0.43034,0.33909,0.36292,0.08626
1952,0.24287,0.26889,0.33363,0.42456,0.43654,0.10572,-0.18089,0.18321,0.0403,0.3351,0.24925,0.59399,0.56123,0.12367,0.05564,-0.12726,0.52505,0.17813,0.53012,0.16309,0.40218,0.10726
1953,0.36699,0.28107,0.14531,0.37924,0.46079,-0.03321,-0.03529,0.17416,-0.15448,0.30589,0.15326,0.5607,0.44333,0.03114,0.26627,-0.08881,0.36138,0.0824,0.35941,0.13588,0.43714,0.22308
1954,0.50508,0.40804,0.14505,0.12782,0.48182,-0.0001,-0.03408,0.10194,-0.19326,0.3626,0.30409,0.4318,0.32638,0.07211,0.10361,0.19313,0.29263,0.19659,0.29422,0.22284,0.60198,0.22147
1955,0.34775,0.28181,0.19478,0.34674,0.55818,0.02428,0.07153,0.14285,-0.39666,0.40453,0.44096,0.39,0.45383,0.24148,0.1063,0.0107,0.18457,0.34894,0.38356,0.04916,0.49558,0.15846
1956,0.30965,0.46851,0.17489,0.51807,0.43167,-0.04498,-0.16134,0.03918,-0.3284,0.37361,0.45026,0.48277,0.49435,0.35723,0.35693,0.08338,0.15558,0.16573,0.34348,-0.05687,0.51695,0.09965
1957,0.29732,0.41073,0.18195,0.3563,0.47534,0.06392,0.0554,0.15262,-0.15446,0.37713,0.41194,0.51447,0.59819,0.36502,0.28482,0.02955,0.18678,0.24811,0.19508,-0.13005,0.50832,0.14355
1958,0.23114,0.38354,0.22542,0.16294,0.54633,0.13835,0.10662,0.12208,-0.30133,0.33622,0.43829,0.6072,0.62495,0.23955,0.09655,0.13144,0.17301,0.33404,0.06659,-0.04808,0.41436,0.268
1959,0.31845,0.54129,0.35311,0.22237,0.63833,-0.02834,-0.02451,0.21219,-0.30427,0.44803,0.4288,0.35747,0.3831,0.10704,0.13661,-0.01628,0.26032,0.26625,-0.10393,0.16157,0.48979,0.32591
1960,0.29462,0.43371,0.41153,0.11558,0.64024,0.08838,0.0624,0.27597,-0.34597,0.4698,0.26759,0.35825,0.47636,0.08456,0.35251,0.00309,0.44678,0.26608,-0.00365,0.23219,0.55284,0.21306
