Year,AS-RCEC_TaiESM1_r1i1p1f1,AWI_AWI-CM-1-1-MR_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-CC_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,KIOST_KIOST-ESM_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_HadGEM3-GC31-MM_r1i1p1f3,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,NUIST_NESM3_r1i1p1f1
1878,0.20133,-0.2158,0.09899,-0.11502,0.0575,0.09012,-0.05892,-0.06305,0.16844,0.05989,0.33817,-0.09831,0.0517,0.07658,0.06291,-0.02763,0.00582,-0.0055,-0.04876,0.21959,-0.01788,0.08706,0.2425,0.07872,0.07884,-0.01199,0.07257
1879,0.14182,-0.12009,0.06541,-0.02407,0.01474,-0.04686,-0.0279,0.09664,-0.09331,0.01702,0.30355,-0.03774,-0.11463,0.0039,0.12378,0.03902,-0.00476,0.00447,-0.14226,0.0336,0.07333,-0.02733,0.33692,-0.04231,0.09962,0.15569,0.08436
1880,0.04507,0.09303,0.13114,-0.06566,-0.06174,-0.20454,0.11058,0.15348,-0.04121,-0.03113,-0.03556,-0.02056,0.01083,0.0866,0.08482,0.02683,-0.00792,0.08419,-0.13286,0.03694,-0.01786,0.05312,0.10502,-0.02676,0.18356,0.00219,-0.00594
1881,0.07022,-0.00662,0.11597,-0.07536,0.04311,-0.10489,-0.09248,0.04475,0.19286,0.01693,-0.06106,0.02041,0.00564,-0.01127,-0.0728,-0.01109,0.02217,-0.0118,0.01767,-0.04226,-0.06457,0.10315,0.03012,0.28041,0.19648,-0.03841,0.08658
1882,0.21334,-0.11597,0.00901,-0.07102,0.02238,0.0011,0.08721,0.09615,0.05131,0.06404,-0.07762,0.13855,0.04591,-0.16778,0.05464,0.03906,0.16348,-0.07125,-0.10819,0.03432,-0.08393,0.15279,0.22959,0.1548,0.19864,-0.12157,0.07437
1883,-0.05278,-0.07825,0.17009,-0.1486,-0.20624,0.00654,0.07999,0.12247,0.16131,-0.03045,-0.02389,0.02199,0.04903,-0.25666,0.13745,0.15855,0.04387,-0.03908,-0.08711,0.0847,-0.00766,-0.03248,0.10969,-0.16944,0.04985,-0.02068,-0.02638
1884,-0.20295,-0.35332,-0.22771,-0.25563,-0.44965,-0.51792,-0.141,-0.29349,-0.15179,-0.3902,-0.26006,-0.31954,-0.29137,-0.40506,-0.30157,-0.20993,-0.2994,-0.26164,-0.33206,-0.21619,-0.3039,-0.11305,-0.12256,-0.4608,-0.25624,-0.3739,-0.31008
1885,-0.24913,-0.25814,-0.14139,-0.11699,-0.18003,-0.51287,-0.18879,-0.07325,-0.082,-0.32828,-0.26213,-0.21837,-0.30577,-0.32878,-0.45169,-0.25723,-0.35389,-0.25832,-0.32232,-0.25882,-0.25354,-0.22379,-0.02076,-0.49468,-0.08928,-0.32264,-0.10964
1886,-0.30831,-0.0965,-0.246,-0.19044,-0.12888,-0.31204,0.04331,-0.01836,-0.13113,-0.32047,-0.14719,-0.07274,-0.14968,-0.19076,-0.23561,-0.15396,-0.23774,-0.15629,-0.27928,-0.18253,-0.12564,-0.06948,0.03065,-0.22195,-0.15474,-0.22827,-0.03191
1887,-0.16148,-0.14221,-0.0998,-0.03271,-0.27861,-0.17335,0.11387,-0.13664,-0.12337,-0.1656,-0.06504,-0.0343,-0.25953,-0.24811,-0.14988,-0.11583,-0.04425,-0.12823,-0.21962,-0.08782,-0.14653,-0.10705,-0.00716,-0.13497,-0.05348,-0.16631,0.07895
1888,0.04442,-0.05825,0.11987,0.15306,-0.27415,-0.05646,0.25507,-0.05558,-0.10508,-0.14951,-0.17833,0.01025,-0.12834,-0.24588,-0.13615,0.09214,0.01946,-0.06357,-0.14919,0.07382,-0.02177,-0.07045,-0.1335,-0.00677,0.11063,0.06177,0.07957
1889,-0.2207,0.09504,0.10509,0.09981,-0.21581,-0.11691,0.11354,-0.12305,-0.3387,-0.11086,-0.21941,-0.02455,0.0247,-0.25563,-0.21195,-0.0506,-0.18137,-0.07708,-0.0783,0.026,0.16931,-0.07172,-0.14073,0.00964,0.18472,0.12663,0.02411
1890,-0.13052,0.04074,0.0273,0.16298,-0.27522,-0.29648,0.05177,-0.17916,-0.11738,-0.05652,-0.01472,0.06,-0.09,-0.03613,-0.2423,-0.13015,-0.29293,-0.03083,-0.12195,-0.01321,0.14299,-0.06641,-0.06397,-0.17083,0.06904,0.03656,-0.04795
1891,-0.06488,-0.04777,-0.15739,0.00829,-0.25025,-0.20764,0.0259,-0.13734,-0.12911,-0.09067,-0.3614,-0.01822,-0.07972,-0.17786,-0.25791,-0.04234,-0.2676,0.01028,-0.05582,0.19236,-0.09412,0.08785,-0.05701,-0.20173,-0.04651,0.05507,-0.01909
1892,-0.19658,-0.00508,0.04152,0.16448,-0.10069,-0.15521,0.09209,-0.09017,-0.28543,-0.24665,-0.16159,-0.10058,0.05443,0.03441,-0.10676,-0.03758,-0.0223,-0.13455,-0.14411,0.17998,-0.14616,0.07621,-0.0658,-0.07107,0.04373,0.05318,-0.17969
1893,-0.13447,-0.05494,-0.04385,0.12356,0.07327,-0.34527,0.12414,0.05297,-0.04551,-0.07684,-0.15023,0.00356,0.0647,-0.16142,-0.29186,0.03366,0.01414,-0.06969,-0.03381,-0.11215,0.04695,0.05599,0.02598,-0.19089,0.12375,0.10888,-0.03119
1894,-0.11779,0.02915,0.04069,0.25739,0.19364,-0.34156,0.06252,0.09835,0.0828,-0.00347,-0.03143,-0.00214,-0.02599,-0.00251,-0.06675,0.06171,-0.23802,0.03728,-0.07968,-0.05112,-0.05629,0.11103,0.02281,-0.0615,-0.09557,0.12459,0.04662
1895,-0.01045,-0.01617,0.17998,0.05466,-0.11251,-0.28178,0.14246,-0.0607,-0.11414,0.01745,0.00308,0.02151,-0.00125,0.12143,-0.09013,-0.00793,-0.2356,-0.09453,-0.07144,0.01886,-0.00163,0.24156,-0.03966,-0.12441,-0.09457,0.16287,0.1664
1896,-0.1269,0.06034,0.09625,0.01322,-0.24858,-0.08808,-0.00745,-0.08279,-0.21985,0.06365,-0.07376,0.03465,0.00391,-0.08348,0.04965,0.01431,-0.16077,0.03387,0.04703,0.09295,0.06423,0.24081,0.02065,-0.04401,-0.01741,0.23751,0.11182
1897,-0.20946,0.12661,0.15117,-0.00811,-0.10847,0.0921,-0.00408,0.01272,-0.14592,0.11901,-0.03079,0.19629,0.0181,-0.0166,0.08779,0.06521,0.06824,0.07234,0.03547,-0.037,0.16628,0.13245,0.17246,0.00693,0.05004,0.20339,0.158
1898,-0.05751,0.05231,0.05772,0.20272,-0.08362,0.02213,0.08649,-0.00173,-0.09287,0.17474,-0.11867,0.1113,0.07641,-0.01551,-0.00966,0.07803,0.15475,-0.00405,0.1581,-0.00164,-0.01015,0.13654,0.34584,0.0457,-0.01195,0.14871,0.16483
1899,-0.15997,0.08045,0.12081,0.19596,0.06592,-0.07709,0.1578,-0.13795,-0.08473,0.1113,-0.16329,0.11131,0.10188,0.12889,0.07167,0.08072,0.01692,-0.00259,0.04552,-0.07962,-0.07417,0.06322,0.23284,0.14356,0.01001,0.30422,0.09346
1900,-0.0794,0.10183,0.1478,0.17889,0.12946,-0.16353,0.11363,-0.03306,-0.17561,0.11555,-0.27901,0.06637,0.12184,0.1756,0.15131,0.16957,-0.05395,-0.02405,-0.00604,0.00109,-0.06946,-0.07495,0.17033,0.09023,0.05045,0.35585,0.04597
1901,-0.0653,0.18229,0.09999,0.08795,0.23566,-0.03515,0.11927,0.04819,0.06075,0.0613,-0.18008,0.09979,0.14612,0.02951,0.20378,0.1796,0.11041,0.01092,0.03797,-0.15518,0.06101,0.17735,0.05067,0.03146,-0.02139,0.13389,-0.033
1902,-0.20918,0.17813,0.10503,0.19346,0.12834,0.05982,0.14907,-0.18101,-0.14481,0.08938,-0.35736,0.14666,0.17912,0.01325,-0.06335,0.0461,0.26399,-0.12288,-0.02534,-0.02847,0.05507,0.12267,-0.13661,-0.05461,0.02597,0.08636,-0.14111
1903,-0.31025,-0.04168,-0.04148,-0.03301,-0.20524,-0.20455,0.04065,-0.26949,-0.11111,-0.10933,-0.43657,-0.12752,0.01373,0.00912,-0.16725,-0.33467,-0.20682,-0.2883,-0.2739,-0.0356,-0.22821,-0.11356,0.00389,-0.05346,-0.03018,-0.03254,-0.18296
1904,-0.13189,-0.01309,-0.10719,-0.09593,-0.17105,-0.18718,-0.01844,-0.35023,-0.11551,-0.10361,-0.45018,-0.04288,-0.09689,-0.03251,-0.09881,-0.30895,-0.13298,-0.10185,-0.15687,-0.13901,-0.02788,0.10432,0.12837,-0.04791,-0.17484,0.25131,-0.08422
1905,-0.26193,-0.10307,-0.15001,0.08686,-0.19112,-0.08863,0.03518,-0.35175,-0.33852,-0.06964,-0.33429,-0.02032,0.11973,-0.08782,0.12309,-0.18498,-0.07899,-0.14017,0.02649,-0.07807,0.12415,0.19083,0.11761,-0.17708,-0.11673,0.23064,0.00016
1906,-0.16192,-0.05923,-0.0497,0.06925,-0.10704,0.07118,0.14212,-0.32037,-0.11355,0.01464,-0.51026,0.01853,0.17904,-0.09235,0.22285,-0.11476,-0.03925,-0.11033,-0.08591,-0.09949,0.01296,0.05595,0.19266,-0.15142,-0.19106,0.16061,-0.11757
1907,-0.2556,0.05692,0.02031,0.08367,-0.03897,0.11114,-0.00365,-0.14961,0.04038,-0.12478,-0.35456,0.02768,0.19364,-0.10319,0.12364,-0.09538,0.08377,-0.00508,-0.05522,0.06167,-0.02843,-0.09261,0.0016,-0.26585,-0.01168,0.17583,0.04463
1908,-0.30641,0.0153,0.05913,0.20017,-0.07333,0.02418,-0.06735,-0.2038,-0.0494,-0.07606,-0.18621,0.13136,0.15897,0.10617,0.24594,0.06327,0.05492,-0.15908,0.02876,0.02858,-0.08037,0.12864,-0.15651,-0.17999,-0.05727,0.19323,0.12914
1909,-0.33378,-0.01698,0.09497,0.18469,0.20719,0.02804,-0.04553,-0.25431,0.01217,-0.15752,-0.33615,0.06037,0.08951,0.1112,0.42003,0.17352,-0.07013,-0.33183,0.09631,-0.02053,-0.14205,0.18577,0.01147,-0.13834,-0.12742,0.34552,0.13895
1910,-0.1497,0.1672,0.21132,0.22475,0.27617,-0.0088,0.01682,-0.19743,-0.21428,0.03614,-0.26376,0.13575,0.18581,0.10489,0.16483,0.06973,-0.01444,-0.30818,0.08464,-0.04821,0.00939,0.20615,0.01746,-0.12525,-0.04884,0.36149,0.07809
1911,-0.07951,0.18503,0.2052,0.09468,0.06168,0.07871,0.03597,-0.25295,0.00607,0.00426,-0.10956,0.12,0.24104,0.14961,0.07832,-0.04823,0.23369,-0.15976,-0.00749,0.00107,0.07345,0.06664,0.09355,0.12933,0.0206,0.36208,0.01689
1912,-0.29298,-0.18763,0.13473,0.02492,-0.0581,0.25732,0.0958,-0.27405,-0.06001,-0.23922,-0.46442,0.0213,0.15214,0.07543,0.15149,-0.09528,0.27148,-0.21918,-0.11706,-0.08897,0.00657,0.01799,0.02704,0.02909,-0.07564,0.0005,-0.10158
1913,-0.28066,-0.11477,-0.12623,0.01638,-0.16031,0.14066,-0.00399,-0.18138,-0.22476,-0.28199,-0.38568,-0.04464,0.06487,-0.07992,0.07993,-0.12558,-0.16817,-0.10574,-0.19864,-0.00581,0.09323,0.01341,0.02894,0.05533,-0.05429,-0.08559,-0.022
1914,-0.11733,-0.11215,-0.20468,-0.03439,-0.05121,-0.06437,0.14362,-0.10733,-0.1699,-0.41707,-0.21116,-0.08744,0.10697,-0.05694,0.08535,-0.04473,-0.13239,-0.0084,-0.21482,0.10553,0.17572,0.01709,0.0178,0.12929,0.0529,0.20144,-0.11555
1915,-0.10249,-0.02207,-0.05925,0.06244,-0.0135,-0.11658,0.17333,-0.20818,-0.15217,-0.22824,-0.19408,0.06751,0.21439,0.10222,0.18405,-0.08092,0.13895,-0.03591,-0.16749,0.12111,0.10296,0.05797,0.00277,0.01024,-0.03715,0.26532,-0.01851
1916,0.06938,0.06243,0.0474,0.15519,0.19832,0.03261,0.19299,-0.26399,-0.30584,-0.01663,-0.10697,0.05218,0.10731,0.25622,0.20779,0.12268,0.34246,-0.0937,0.02068,0.00129,-0.03244,-0.0688,0.10738,-0.09177,0.0433,0.24173,0.0748
1917,0.05602,0.01201,0.16296,0.1854,0.17115,0.13251,0.20603,-0.06769,-0.23786,-0.29462,-0.16827,0.06272,0.26177,0.10028,0.14127,0.24939,0.26027,-0.07435,-0.01544,-0.09742,-0.14224,-0.0414,0.15983,-0.00701,0.04516,0.18488,0.20562
1918,-0.1139,0.08888,0.1521,0.23429,0.13713,0.05875,0.16913,-0.30131,-0.25861,-0.06751,-0.03086,0.08428,0.29804,0.07273,0.11545,0.31945,-0.10981,0.01613,0.15271,0.00802,-0.16171,0.0012,0.16308,-0.01111,0.01462,0.25958,0.20826
1919,-0.06265,0.15651,0.13772,0.29256,0.15021,0.07462,0.18413,-0.0864,-0.02093,-0.09194,-0.05813,0.10185,0.36659,-0.03296,0.18843,-0.1011,-0.07423,0.14109,-0.0312,0.13641,-0.05376,-0.05676,0.0805,0.12485,0.01733,0.37126,0.2244
1920,-0.08183,0.17634,0.06939,0.34356,0.16053,0.10384,0.20411,0.01586,-0.09574,-0.14851,-0.03219,0.09221,0.36473,0.11947,0.37227,-0.08975,0.10644,0.06409,-0.03669,0.02762,0.14131,-0.04244,0.14741,0.13847,0.09705,0.38635,0.16903
1921,-0.10352,0.25703,0.09782,0.06754,0.37081,0.25042,0.11547,0.0048,0.0127,-0.15762,0.13846,0.15588,0.35485,0.26005,0.14275,0.0542,0.26977,0.03707,-0.02021,-0.11281,0.18351,0.0919,0.31484,0.06426,0.04536,0.18403,0.24795
1922,0.0839,0.07687,0.02291,0.12749,0.36472,0.07298,0.10862,-0.11862,-0.07608,-0.24882,0.02288,0.27034,0.3182,-0.09276,0.13272,0.1431,0.15468,0.01831,-0.09681,-0.10645,0.16971,0.18134,0.22534,-0.13546,0.09932,0.24079,0.16082
1923,0.1254,0.19315,0.10051,0.08342,0.13596,-0.11342,0.19503,-0.12615,-0.03295,-0.07041,0.05805,0.27,0.29075,-0.16236,0.31591,0.12323,-0.09175,0.11836,-0.1127,-0.0805,0.19453,0.2206,0.27201,-0.26036,0.25419,0.32702,0.09179
1924,0.16446,0.42473,0.30132,0.28211,0.00868,-0.09685,0.31721,-0.08148,-0.14504,-0.02583,0.15321,0.21785,0.25519,0.11643,0.31829,0.22934,-0.09287,0.14422,0.04232,0.08675,0.17408,-0.00492,0.34369,-0.26059,0.12542,0.23369,0.11982
1925,-0.03901,0.35161,0.34722,0.25965,0.07186,0.0202,0.42998,-0.05322,-0.14208,0.0212,0.21386,0.20278,0.27756,0.03543,0.29026,0.19801,-0.04566,0.04428,0.11939,0.07678,0.03568,-0.08302,0.12893,-0.29595,0.13599,0.18577,0.14458
1926,-0.0835,0.10723,0.15541,0.0164,0.10897,0.16636,0.342,-0.08781,-0.12906,-0.07298,0.10115,0.16437,0.31378,0.14572,0.31404,0.12082,0.04479,0.11066,-0.10703,0.05163,0.18661,0.00104,0.17308,-0.14837,0.14579,0.142,0.20521
1927,0.06015,0.10428,0.1062,0.17768,0.21577,0.39056,0.35794,-0.14726,-0.02538,0.09357,0.07186,0.23607,0.30148,0.04015,0.3666,0.079,0.20022,0.04872,-0.07423,-0.10172,0.26304,0.13939,0.33626,-0.06052,0.23332,0.29504,0.15787
1928,0.11544,0.12359,0.11988,0.4304,0.27539,0.39503,0.41846,-0.23047,0.08873,0.04288,0.23277,0.22953,0.36987,0.10878,0.13571,0.06516,0.24737,0.13629,0.16285,-0.01618,0.38559,0.1138,0.27836,-0.0739,0.25183,0.39771,0.24271
