Year,AWI_AWI-CM-1-1-MR_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-CC_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,KIOST_KIOST-ESM_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,NUIST_NESM3_r1i1p1f1
1911,0.18503,0.09468,0.06168,0.07871,0.03597,-0.25295,0.00607,0.00426,-0.10956,0.12,0.24104,0.14961,0.07832,-0.04823,0.23369,-0.15976,0.00107,0.07345,0.06664,0.12933,0.0206,0.36208,0.01689
1912,-0.18763,0.02492,-0.0581,0.25732,0.0958,-0.27405,-0.06001,-0.23922,-0.46442,0.0213,0.15214,0.07543,0.15149,-0.09528,0.27148,-0.21918,-0.08897,0.00657,0.01799,0.02909,-0.07564,0.0005,-0.10158
1913,-0.11477,0.01638,-0.16031,0.14066,-0.00399,-0.18138,-0.22476,-0.28199,-0.38568,-0.04464,0.06487,-0.07992,0.07993,-0.12558,-0.16817,-0.10574,-0.00581,0.09323,0.01341,0.05533,-0.05429,-0.08559,-0.022
1914,-0.11215,-0.03439,-0.05121,-0.06437,0.14362,-0.10733,-0.1699,-0.41707,-0.21116,-0.08744,0.10697,-0.05694,0.08535,-0.04473,-0.13239,-0.0084,0.10553,0.17572,0.01709,0.12929,0.0529,0.20144,-0.11555
1915,-0.02207,0.06244,-0.0135,-0.11658,0.17333,-0.20818,-0.15217,-0.22824,-0.19408,0.06751,0.21439,0.10222,0.18405,-0.08092,0.13895,-0.03591,0.12111,0.10296,0.05797,0.01024,-0.03715,0.26532,-0.01851
1916,0.06243,0.15519,0.19832,0.03261,0.19299,-0.26399,-0.30584,-0.01663,-0.10697,0.05218,0.10731,0.25622,0.20779,0.12268,0.34246,-0.0937,0.00129,-0.03244,-0.0688,-0.09177,0.0433,0.24173,0.0748
1917,0.01201,0.1854,0.17115,0.13251,0.20603,-0.06769,-0.23786,-0.29462,-0.16827,0.06272,0.26177,0.10028,0.14127,0.24939,0.26027,-0.07435,-0.09742,-0.14224,-0.0414,-0.00701,0.04516,0.18488,0.20562
1918,0.08888,0.23429,0.13713,0.05875,0.16913,-0.30131,-0.25861,-0.06751,-0.03086,0.08428,0.29804,0.07273,0.11545,0.31945,-0.10981,0.01613,0.00802,-0.16171,0.0012,-0.01111,0.01462,0.25958,0.20826
1919,0.15651,0.29256,0.15021,0.07462,0.18413,-0.0864,-0.02093,-0.09194,-0.05813,0.10185,0.36659,-0.03296,0.18843,-0.1011,-0.07423,0.14109,0.13641,-0.05376,-0.05676,0.12485,0.01733,0.37126,0.2244
1920,0.17634,0.34356,0.16053,0.10384,0.20411,0.01586,-0.09574,-0.14851,-0.03219,0.09221,0.36473,0.11947,0.37227,-0.08975,0.10644,0.06409,0.02762,0.14131,-0.04244,0.13847,0.09705,0.38635,0.16903
1921,0.25703,0.06754,0.37081,0.25042,0.11547,0.0048,0.0127,-0.15762,0.13846,0.15588,0.35485,0.26005,0.14275,0.0542,0.26977,0.03707,-0.11281,0.18351,0.0919,0.06426,0.04536,0.18403,0.24795
1922,0.07687,0.12749,0.36472,0.07298,0.10862,-0.11862,-0.07608,-0.24882,0.02288,0.27034,0.3182,-0.09276,0.13272,0.1431,0.15468,0.01831,-0.10645,0.16971,0.18134,-0.13546,0.09932,0.24079,0.16082
1923,0.19315,0.08342,0.13596,-0.11342,0.19503,-0.12615,-0.03295,-0.07041,0.05805,0.27,0.29075,-0.16236,0.31591,0.12323,-0.09175,0.11836,-0.0805,0.19453,0.2206,-0.26036,0.25419,0.32702,0.09179
1924,0.42473,0.28211,0.00868,-0.09685,0.31721,-0.08148,-0.14504,-0.02583,0.15321,0.21785,0.25519,0.11643,0.31829,0.22934,-0.09287,0.14422,0.08675,0.17408,-0.00492,-0.26059,0.12542,0.23369,0.11982
1925,0.35161,0.25965,0.07186,0.0202,0.42998,-0.05322,-0.14208,0.0212,0.21386,0.20278,0.27756,0.03543,0.29026,0.19801,-0.04566,0.04428,0.07678,0.03568,-0.08302,-0.29595,0.13599,0.18577,0.14458
1926,0.10723,0.0164,0.10897,0.16636,0.342,-0.08781,-0.12906,-0.07298,0.10115,0.16437,0.31378,0.14572,0.31404,0.12082,0.04479,0.11066,0.05163,0.18661,0.00104,-0.14837,0.14579,0.142,0.20521
1927,0.10428,0.17768,0.21577,0.39056,0.35794,-0.14726,-0.02538,0.09357,0.07186,0.23607,0.30148,0.04015,0.3666,0.079,0.20022,0.04872,-0.10172,0.26304,0.13939,-0.06052,0.23332,0.29504,0.15787
1928,0.12359,0.4304,0.27539,0.39503,0.41846,-0.23047,0.08873,0.04288,0.23277,0.22953,0.36987,0.10878,0.13571,0.06516,0.24737,0.13629,-0.01618,0.38559,0.1138,-0.0739,0.25183,0.39771,0.24271
1929,0.19194,0.28192,0.30219,0.31676,0.51873,-0.1694,-0.02252,0.13255,0.22412,0.28457,0.43296,0.23466,0.12632,0.04483,0.16271,0.05805,-0.03247,0.33298,0.1656,-0.0563,0.0807,0.31219,0.15998
1930,0.2348,0.27566,0.23216,0.23643,0.35283,-0.18261,-0.00843,0.03395,0.17136,0.36138,0.40334,0.08578,0.27961,0.00073,0.00533,-0.09001,0.06371,0.16658,0.10373,0.17545,0.12469,0.2506,0.02179
1931,0.26446,0.42218,0.08445,0.42697,0.49872,-0.15701,0.04657,-0.04738,0.10321,0.26932,0.28043,-0.04748,0.17543,0.05369,0.09917,-0.15738,-0.11802,0.17257,-0.05411,0.23795,0.12651,0.33296,0.06593
1932,0.19352,0.46674,0.11237,0.56645,0.477,-0.17065,0.00947,0.10984,0.20083,0.23025,0.28545,0.14989,0.29935,0.13863,0.21506,-0.08113,-0.07224,0.09782,0.07916,-0.1175,0.27559,0.40768,0.18019
1933,0.16103,0.23068,0.07908,0.27145,0.47055,-0.10576,-0.10159,0.16798,0.31324,0.20409,0.21333,0.25239,0.22463,0.00383,0.18204,-0.09552,-0.05219,0.15462,0.10782,0.03365,0.19796,0.35709,0.20435
1934,0.27448,0.27655,0.11471,0.13109,0.3986,0.04886,-0.16927,0.37592,0.39398,0.27495,0.25399,0.26362,0.13069,0.12053,0.20074,-0.00986,-0.10562,0.22278,0.08969,0.15542,0.21225,0.24158,0.2871
1935,0.31511,0.23485,0.20948,0.29337,0.38974,-0.12705,-0.11549,0.25746,0.2769,0.2559,0.33105,0.15207,0.01926,0.1538,0.27822,0.12442,-0.06828,0.27173,0.19966,0.00832,0.22821,0.23095,0.27417
1936,0.2414,0.1223,0.26291,0.40234,0.47551,-0.34784,-0.1476,0.28551,0.29134,0.25725,0.26394,0.23284,0.24245,0.18921,0.07585,-0.09248,0.07955,0.20507,0.31438,-0.13948,0.20944,0.16185,0.12707
1937,0.1802,0.28591,0.20883,0.25228,0.41794,-0.20821,-0.1132,0.093,0.32088,0.31513,0.25503,0.40587,0.15545,0.35577,0.0014,-0.03676,-0.21023,0.18917,0.24268,-0.06576,0.42701,0.12835,0.19793
1938,0.32228,0.41914,0.02079,0.19705,0.3386,-0.04196,0.07341,0.14993,0.31069,0.21204,0.22985,0.3473,0.1358,0.29543,0.21539,0.07487,-0.22893,0.24886,0.32207,0.09405,0.21719,0.22514,0.0843
1939,0.21418,0.42247,0.05612,0.36005,0.47505,0.00439,-0.23676,0.20949,0.49624,0.24443,0.2439,0.1992,0.26349,0.04243,0.29153,0.08894,-0.04897,0.15104,0.25579,0.17388,0.20236,0.287,0.03393
1940,0.2479,0.31602,-0.01698,0.41782,0.42459,-0.01428,0.02284,0.19127,0.61095,0.2729,0.30266,0.13574,0.50868,0.03838,0.43441,0.12609,-0.15168,0.33403,0.18096,0.26093,0.34888,0.31222,0.19359
1941,0.20457,0.30685,0.18615,0.38462,0.36285,-0.02555,0.00773,0.33271,0.60649,0.39553,0.31936,0.27634,0.28428,0.10506,0.29637,0.25036,-0.07526,0.3362,0.21834,0.186,0.42292,0.10388,0.24695
1942,-0.003,0.03961,0.08334,0.12819,0.3878,0.16427,0.01351,0.23983,0.65707,0.36729,0.37263,0.53008,0.29316,0.20951,0.0978,0.05794,0.0891,0.46181,0.1156,0.16964,0.39469,0.11379,0.23063
1943,0.28947,0.23364,-0.05804,0.1457,0.3644,0.06341,-0.14296,0.17852,0.66046,0.37543,0.17398,0.47894,0.35783,0.38327,-0.03321,-0.10265,-0.10755,0.50859,0.13279,0.04515,0.47244,0.23428,0.21629
1944,0.43792,0.22274,0.09363,0.18304,0.35268,-0.09643,0.00334,0.27073,0.65008,0.34728,0.187,0.33937,0.21512,0.50374,0.32687,-0.02021,0.02855,0.2667,0.2706,-0.00425,0.35888,0.16278,0.19377
