Year,AWI_AWI-CM-1-1-MR_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-CC_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,KIOST_KIOST-ESM_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,NUIST_NESM3_r1i1p1f1
2057,2.58192,2.06899,2.86077,2.78588,2.96065,2.34932,1.98119,2.61549,2.84451,1.9984,1.65724,2.74821,2.25703,1.8714,1.86436,2.91226,2.99279,1.80626,2.27064,1.49397,3.19396,1.92574,2.62912
2058,2.4627,1.81039,2.81046,3.03804,2.98395,2.16823,1.98678,2.76065,2.74271,1.88164,1.7912,2.85943,2.27835,1.70903,1.73822,2.96824,3.06463,1.97145,2.27249,1.66462,3.18834,1.5961,2.52159
2059,2.41733,2.07251,2.69764,2.99888,2.86772,2.3272,2.09134,2.86224,2.50082,1.96916,1.85522,2.73305,2.2915,1.7066,2.01344,2.89943,3.10463,2.21451,2.41102,1.78205,3.23224,1.8171,2.445
2060,2.53609,1.90898,2.63983,2.75139,2.91005,2.35982,2.29681,2.55958,2.50209,2.02125,1.76873,2.88891,2.40752,1.9386,2.25274,2.91593,3.00708,2.09897,2.29668,1.83796,3.27388,1.93206,2.42774
2061,2.43917,1.97417,2.70938,2.76348,2.92953,2.33583,2.24621,2.7762,2.65678,2.04633,1.75201,2.92278,2.33063,1.98477,1.92969,3.02539,3.15832,1.88762,2.28108,1.74672,3.29918,1.99092,2.50648
2062,2.49215,2.12619,2.77676,2.94878,2.98164,2.33104,2.21367,2.92484,2.6032,2.15962,1.88947,3.0195,2.27605,1.60111,1.77371,3.12928,3.2999,1.94495,2.49718,1.78011,3.34685,1.76865,2.53618
2063,2.5168,2.09354,2.9872,3.10195,2.94263,2.59067,2.34859,2.77098,2.54556,2.03669,1.8174,2.9878,2.5186,1.60129,1.90371,2.92059,3.12332,2.14552,2.52741,1.6383,3.3186,1.85633,2.48703
2064,2.77541,2.18217,3.11991,2.95894,3.02726,2.46017,2.02535,2.74545,2.80533,2.03551,1.86167,2.9375,2.42098,1.7832,2.1701,3.0643,3.04272,2.09944,2.40471,1.57431,3.28596,1.93959,2.52858
2065,2.76806,2.15235,3.00877,2.72595,3.13493,2.72837,2.08779,2.9087,2.70429,2.11089,1.82203,2.85354,2.43806,1.97359,2.38952,3.23501,3.05611,1.982,2.43796,1.44431,3.29257,1.74201,2.67695
2066,2.64816,2.16723,2.95317,2.93257,2.94997,2.63116,2.31877,2.73461,2.7278,2.0957,1.95588,3.04975,2.60102,2.13914,1.98104,3.26245,3.07706,2.20604,2.34848,1.42558,3.40358,1.78154,2.59432
2067,2.85591,2.10576,3.02224,3.24797,3.08382,2.55924,2.17948,2.8282,2.91497,2.00331,1.9196,3.24723,2.5992,1.77683,1.88694,3.18915,3.12819,2.25535,2.41994,1.53946,3.42235,1.90699,2.63076
2068,2.55818,2.03249,3.02994,3.34576,3.24541,2.57133,2.32412,2.96243,2.96187,1.96151,1.9258,3.29438,2.59048,1.97873,2.00652,3.1451,3.23247,2.27539,2.3642,1.60378,3.48231,1.94961,2.56922
2069,2.65472,2.02727,3.27188,3.15079,3.30769,2.7874,2.28426,3.04934,2.76411,2.00333,1.99366,3.02995,2.55519,2.02438,2.31514,3.19434,3.29321,1.98669,2.36054,1.98681,3.50465,1.89044,2.58235
2070,2.74473,2.19762,3.14378,3.01598,3.30104,2.60931,2.51727,3.0868,2.96938,2.09144,2.05501,3.0046,2.63636,1.98805,2.11383,3.35051,3.57697,2.02429,2.46245,1.9251,3.44715,1.76666,2.48405
2071,2.87323,2.06423,3.1179,3.14854,3.46051,2.76684,2.53518,3.15535,3.06315,2.01448,2.09696,3.19837,2.57879,1.98951,1.91217,3.29523,3.54577,2.09056,2.42396,1.90469,3.44082,1.85632,2.59923
2072,2.73142,2.2314,2.94163,3.40228,3.26668,2.6683,2.49873,3.07534,2.92402,2.07308,2.11014,3.22179,2.58535,2.22186,2.18235,3.45908,3.36194,2.24292,2.49189,1.99062,3.48112,2.04301,2.70159
2073,2.57225,1.98807,3.25685,3.38851,3.22435,2.58443,2.62883,3.06525,3.03516,2.12926,2.0501,3.53461,2.64976,2.18027,2.39858,3.47063,3.48728,2.19443,2.46831,2.02469,3.60511,2.04729,2.83332
2074,2.68642,1.87546,3.33085,3.2764,3.49171,2.72622,2.46729,3.13586,3.04346,2.17103,1.9855,3.2755,2.59243,1.84719,2.0965,3.35907,3.51858,2.24052,2.40619,1.8921,3.46819,1.96729,2.7047
2075,2.84508,2.08889,3.34388,3.15288,3.36838,2.776,2.54066,3.13433,3.07556,2.09707,2.03918,3.19564,2.39285,1.78523,1.87691,3.362,3.54037,2.29613,2.47613,1.79225,3.38562,2.04886,2.68334
2076,2.83288,2.02547,3.33508,3.2899,3.39161,2.79802,2.59099,3.1722,3.11523,2.08799,1.99128,3.49258,2.49633,2.01168,2.0647,3.28517,3.60808,2.26143,2.61729,1.96212,3.54404,2.14445,2.82902
2077,2.7227,2.18264,3.29929,3.44089,3.59452,2.78988,2.7091,3.07461,3.29658,2.23943,2.04471,3.42602,2.71763,2.2763,2.35946,3.53447,3.74644,2.13824,2.45675,2.01741,3.47869,2.25868,2.94519
2078,2.98992,2.01572,3.28178,3.28756,3.55747,3.01719,2.90644,2.93895,3.24523,2.24207,2.07858,3.37598,2.69895,2.06074,2.3564,3.53165,3.57498,2.31817,2.54541,1.89991,3.46817,2.06003,2.78756
2079,2.93182,2.28934,3.51686,3.33975,3.54843,2.88224,2.78929,3.28452,2.88337,2.16752,2.06004,3.29354,2.51411,1.92142,2.17303,3.51453,3.57817,2.32696,2.57372,2.15461,3.47867,2.12184,2.92385
2080,2.74458,2.29509,3.61161,3.49154,3.61803,2.94974,2.79167,3.23056,3.00911,2.16459,2.02823,3.21421,2.65848,2.00769,2.37825,3.42346,3.72528,2.23304,2.56041,2.14463,3.48448,2.21919,2.91373
2081,2.84499,2.31125,3.5919,3.525,3.64672,2.76295,2.80531,3.28163,3.29963,2.21476,2.18143,3.25507,2.57521,2.0837,2.55772,3.50611,3.91312,2.22834,2.6916,2.05287,3.52527,2.05206,2.85118
2082,2.82972,2.24246,3.66015,3.34308,3.6835,2.88737,2.74351,3.14488,3.39507,2.24455,2.11345,3.36717,2.76428,2.254,2.22592,3.58777,3.91552,2.29734,2.66756,2.0424,3.67456,2.29176,2.92048
2083,3.02244,2.0944,3.46307,3.29118,3.66101,2.83888,2.82567,3.31976,3.34345,2.19652,2.22864,3.51941,2.6169,2.27759,2.06447,3.84165,3.94694,2.41517,2.73666,2.04392,3.60443,2.26445,2.9643
2084,2.96371,2.40652,3.41773,3.43638,3.82136,3.06772,2.74304,3.27238,3.29324,2.15641,2.31922,3.67118,2.53331,1.93296,2.25233,3.77513,3.75092,2.54669,2.74343,2.181,3.55141,2.07366,3.05566
2085,2.87374,2.13428,3.35359,3.48418,3.80278,3.11761,2.93083,3.37578,3.35327,2.23385,2.2625,3.71909,2.73767,1.84966,2.38022,3.79602,3.78139,2.35698,2.70492,2.13648,3.59517,2.26236,2.75108
2086,2.9091,2.09475,3.34647,3.49727,3.75585,3.07532,3.03231,3.31964,3.46749,2.21887,2.26334,3.68506,2.64618,2.03678,2.44223,3.68064,3.9893,2.32058,2.72798,2.13799,3.75888,2.38975,2.7789
2087,2.76647,2.24861,3.44947,3.68477,3.81012,2.94436,3.02991,3.4241,3.4036,2.20923,2.25239,3.47736,2.64471,2.31142,2.46487,3.69881,3.95901,2.36625,2.6712,2.04026,3.69253,2.01053,2.87685
2088,2.75968,2.14698,3.3785,3.71619,3.75689,3.03759,2.94305,3.37725,3.3711,2.21569,2.22542,3.48076,2.9,2.27075,2.11983,3.7714,4.02705,2.3667,2.67985,2.1899,3.64601,2.19607,3.02486
2089,2.93253,2.48902,3.6784,3.55021,3.73694,3.19153,3.18774,3.42246,3.42652,2.27121,2.24707,3.54901,2.92778,1.98378,2.32567,3.80856,3.95579,2.32245,2.67051,2.24241,3.66382,2.29721,2.80756
2090,3.04753,2.22241,3.82746,3.47552,3.8925,3.32706,3.15606,3.40498,3.44242,2.30411,2.22442,3.82253,2.509,2.03095,2.50539,3.84442,3.83012,2.50879,2.71664,2.00423,3.58248,2.23469,2.8179
2091,2.85411,2.31889,3.82513,3.48845,3.95089,3.24861,2.81585,3.47308,3.48748,2.2818,2.27099,3.82446,2.62999,2.12096,2.75981,3.84712,4.06089,2.41332,2.88472,2.07317,3.62244,2.06097,2.90167
2092,2.95711,2.40649,3.61967,3.64506,3.80063,3.30831,3.13686,3.45577,3.37378,2.29458,2.2146,3.60346,2.67402,2.39209,2.45056,3.8492,4.05366,2.38643,2.61401,2.19863,3.66428,2.30717,3.02426
2093,3.27843,2.31998,3.57402,3.90455,3.7946,3.21182,3.25685,3.47228,3.45422,2.32059,2.23158,3.58724,2.66251,2.48749,2.35134,4.04592,3.98623,2.52064,2.68866,2.11743,3.69205,2.19578,3.11381
2094,3.11168,2.32754,3.65283,3.84354,3.93467,3.23104,3.05017,3.43182,3.54472,2.29328,2.35038,3.67152,2.74264,2.16596,2.44968,4.01136,3.97712,2.44576,2.83686,1.9859,3.65242,2.28201,2.96881
2095,3.03357,2.23801,3.68297,3.69926,3.94907,3.34802,3.23317,3.50244,3.62223,2.3486,2.41542,3.72036,2.81836,2.08714,2.66029,3.8214,4.16671,2.42689,2.55801,2.25815,3.75518,2.46809,3.03179
2096,3.02347,2.39789,3.8452,3.65761,3.84665,3.32345,3.23537,3.6326,3.33156,2.29401,2.47292,3.88847,2.66562,2.09734,2.37913,3.84515,4.14932,2.59934,2.68138,2.173,3.7933,2.15147,3.02453
2097,3.04586,2.3011,3.79879,3.73874,3.92574,3.18891,3.07538,3.4663,3.40687,2.264,2.39387,3.89315,2.72247,2.10094,2.32389,3.87028,4.22552,2.63669,2.82045,1.91836,3.61464,2.34133,3.10272
2098,2.87839,2.41374,3.76541,3.77331,4.04417,3.53005,3.36094,3.55829,3.48764,2.24965,2.4149,3.54244,2.72386,2.20012,2.4511,4.04251,4.2481,2.52907,2.71409,2.22018,3.58202,2.37862,3.04363
2099,2.89163,2.39614,3.88639,3.79432,4.04634,3.46055,3.19001,3.58899,3.74706,2.24296,2.31814,3.58147,2.47211,2.33195,2.76861,3.98946,4.15244,2.50041,2.61822,2.41126,3.71156,2.20349,3.08649
2100,2.82033,-,3.7609,3.58731,3.93093,3.25919,3.29835,3.57018,3.69505,2.27032,2.29511,3.94599,2.6259,2.48944,2.55944,4.01919,4.21658,2.50424,2.70032,2.03027,3.76047,2.38826,3.14867
